City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Speed of wind
410,gillette,40,US,1556324213,58,44.29,-105.5,12.75
411,divnogorsk,40,RU,1556321400,86,55.96,92.38,11.18
412,laguna,5,MX,1556318760,18,27.52,-110.01,8.05
413,mattru,90,SL,1556324327,84,7.62,-11.83,2.95
414,salinas,75,US,1556324129,72,36.67,-121.66,16.11
415,marawi,99,PH,1556324153,71,8.0,124.29,1.01
416,nouadhibou,7,MR,1556323200,72,20.93,-17.03,19.46
417,port-gentil,40,GA,1556319600,88,-0.72,8.78,9.17
418,brandon,90,US,1556324125,37,43.59,-96.57,5.82
419,likasi,78,CD,1556324328,93,-10.99,26.74,2.59
420,anshun,76,CN,1556324328,94,26.25,105.93,8.99
421,mababanaba,75,PH,1556319600,69,15.5,120.46,2.24
422,severo-yeniseyskiy,100,RU,1556324328,85,60.37,93.04,9.4
423,yatou,97,CM,1556324328,80,3.63,9.81,12.17
424,teahupoo,40,PF,1556321400,62,-17.83,-149.27,5.82
425,aljezur,0,PT,1556324172,73,37.31,-8.8,19.77
426,chitrakonda,83,IN,1556324329,55,18.12,82.08,3.47
427,einsiedeln,75,CH,1556324302,100,47.13,8.75,3.18
428,bandarbeyla,2,SO,1556323915,65,9.49,50.81,9.62
429,turan,62,RU,1556324329,76,52.15,93.92,3.76
430,kamenka,79,RU,1556323375,47,53.19,44.05,3.49
431,marienburg,90,DE,1556324319,93,52.12,9.98,4.7
432,rock sound,11,BS,1556324330,77,24.9,-76.2,12.08
